Timestamp,Source IP,Destination IP,Hostname,Protocol,Port
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,156.143.60.181,17.248.200.66,Unknown,TCP,443
2025-10-21 13:00:47,156.143.60.181,17.248.200.66,Unknown,TCP,443
2025-10-21 13:00:47,156.143.60.181,17.248.200.66,Unknown,TCP,443
2025-10-21 13:00:47,156.143.60.181,17.248.200.66,Unknown,TCP,443
2025-10-21 13:00:47,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:47,10.102.8.98,156.143.60.181,Unknown,UDP,60091
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,17.248.200.66,156.143.60.181,Unknown,TCP,50512
2025-10-21 13:00:47,156.143.60.181,35.186.224.30,30.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:47,35.186.224.30,156.143.60.181,Unknown,TCP,50510
2025-10-21 13:00:47,35.186.224.30,156.143.60.181,Unknown,TCP,50510
2025-10-21 13:00:47,156.143.60.181,35.186.224.30,30.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:47,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:47,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:48,156.143.60.181,35.186.224.30,30.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:48,35.186.224.30,156.143.60.181,Unknown,TCP,50727
2025-10-21 13:00:48,35.186.224.30,156.143.60.181,Unknown,TCP,50727
2025-10-21 13:00:48,156.143.60.181,35.186.224.30,30.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,140.82.113.6,156.143.60.181,Unknown,TCP,50590
2025-10-21 13:00:48,156.143.60.181,140.82.113.6,lb-140-82-113-6-iad.github.com,TCP,443
2025-10-21 13:00:48,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:48,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:49,156.143.60.181,156.143.63.255,Unknown,UDP,57621
2025-10-21 13:00:49,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:49,10.102.8.98,156.143.60.181,Unknown,UDP,50756
2025-10-21 13:00:49,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:49,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:50,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:50,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:51,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:51,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:52,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:52,156.143.60.181,96.16.60.92,a96-16-60-92.deploy.static.akamaitechnologies.com,TCP,443
2025-10-21 13:00:52,156.143.60.181,96.16.60.92,a96-16-60-92.deploy.static.akamaitechnologies.com,TCP,443
2025-10-21 13:00:52,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:52,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:52,96.16.60.92,156.143.60.181,Unknown,TCP,50516
